Title,Date,Description
State Council Document No. [1979] 63,1979,"In March 1979, the State Council issued Document No. [1979] 63, officially establishing Shenzhen Municipality. This marked the legal starting point for Shenzhen¡¯s transformation from a small border town into a modern city and laid the foundation for its designation as China¡¯s first Special Economic Zone."
Time is Money; Efficiency is Life Slogan,1982,"In 1982, the slogan ""Time is money, efficiency is life"" was proposed in Shenzhen. This iconic phrase broke ideological barriers and became the spiritual symbol of China¡¯s reform and opening-up era, driving the city¡¯s rapid industrialization."
Guomao Building (International Trade Centre),1985,"Construction of the Guomao Building began in 1982 and was completed in just 37 months by 1985. Known as ""Shenzhen Speed"", it became China¡¯s tallest building at the time and a national symbol of the city¡¯s rapid development in the early reform era."
Shenzhen Stock Exchange Launch,1990,"The Shenzhen Stock Exchange was formally launched in 1990. It established Shenzhen as a national financial center and created China¡¯s second major capital market, accelerating the city¡¯s shift from manufacturing to modern finance."
Shenzhen Baoan International Airport Opening,1991,Shenzhen Bao¡¯an International Airport opened in 1991. This new aviation hub greatly improved the city¡¯s global connectivity and supported its rapid economic integration with Hong Kong and the international market.
Shun Hing Square (Di Wang Tower),1996,Shun Hing Square (Di Wang Tower) was completed in 1996 at 384 meters. It became China¡¯s tallest building at the time and symbolized Shenzhen¡¯s economic rise while defining the Luohu Central Business District.
Hong Kong Handover Ceremony (1997),1997,"On 1 July 1997, Hong Kong was handed over to China under ""One Country, Two Systems"". The smooth transition greatly boosted international confidence in Shenzhen, strengthening its role as the mainland¡¯s gateway to global capital and investment."
First China Hi-Tech Fair (CHTF),1999,"The first China Hi-Tech Fair was held in Shenzhen in 1999. It established the city as a national platform for technology exchange and innovation, attracting capital and startups while building Shenzhen¡¯s reputation as a tech hub."
Shenzhen University Town Founding,2000,"Shenzhen University Town was founded in 2000. It attracted top universities and research institutes, creating a strong local higher-education and R&D base that supported the city¡¯s transition into a knowledge economy."
Shenzhen Metro Line 1 Opening,2004,Shenzhen Metro Line 1 opened in 2004. This marked the beginning of the city¡¯s modern rail transit era and formed the backbone of its urban transportation network.
DJI (Da-Jiang Innovations) Founding,2006,"DJI was founded in a small apartment in Shenzhen in 2006. The company grew into the global leader in drones, establishing Shenzhen¡¯s worldwide reputation for hardware innovation and entrepreneurship."
SEZ Expansion to Entire City (2010),2010,"In 2010, the Special Economic Zone was expanded to cover the entire city (from 395 km to 1,953 km). This major policy change enabled unified urban planning and city-wide integrated development."
Kingkey 100 Completion,2011,Kingkey 100 (441.8 m) was completed in 2011. It became a landmark of Futian CBD and demonstrated Shenzhen¡¯s growing financial and economic strength.
Ping An Finance Center Topping Out,2014,Ping An Finance Center (599.1 m) was topped out in 2014. It became Shenzhen¡¯s new skyline icon and significantly enhanced the city¡¯s global image as a modern metropolis.
NA,2016,"Shenzhen-Hong Kong Stock Connect was launched in 2016. It deepened financial integration between Shenzhen and Hong Kong, further strengthening the city¡¯s position as a regional financial hub."
NA,2020,Shenzhen achieved nationwide full 5G standalone coverage first in 2020. This milestone established the city as a leader in digital infrastructure and laid the foundation for its smart-city development.
Intelligent Connected Vehicles Regulation,2023.1,Shenzhen issued China¡¯s first local regulation on Intelligent Connected Vehicles in 2023. It pioneered autonomous driving legislation and positioned the city as a global leader in future mobility industries.
NA,2023.2,"Shenzhen launched the Low-Altitude Economy Industry Promotion Regulation in 2023. It built a comprehensive drone and air-mobility ecosystem, creating a new engine for high-quality economic growth."
Shenzhen-Zhongshan Link Opening,2024,The Shenzhen-Zhongshan Link opened in June 2024. This 24 km mega-bridge strengthened connectivity with western Guangdong and accelerated integration within the Greater Bay Area.
Qianhai Huafa Ice & Snow World Opening,2025,"Qianhai Huafa Ice & Snow World (430,000 m) officially opened in September 2025. As the world¡¯s largest indoor ski resort at the lowest latitude, it became a major cultural and tourism landmark, significantly upgrading Shenzhen¡¯s urban service functions."
